tipo;nombre
m;AGRALE
o;6000
v;C/S
v;C/D 
v;RD C/S E MEC
o;7500
v;RD E MEC
v;CD D/C E MEC
o;8500
v;4200 MM
v;CD E D/C MEC
v;RD E MEC
v;TCE C/S E-TRONIC
o;9200
v;TCE C/S E-TRONIC
o;13000
v;TCA
m;ASIA
o;AM
v;825 MINI BUS A/C DH
m;CHEVROLET
o;14
v;190 KODIAK
o;16
v;220
m;DAIHATSU
o;DELTA
v;V116
v;V116 C/CAJA 
v;V118
v;V118 VOLCADOR
m;D F M
o;1063
v;CJ 10 CUMMINS EURO III
v;C125 CUMMINS EURO III
o;1064
v;C125 CUMMINS EURO III
o;T 01
v;4;0 TON 3;0 NISSAN C/CAJA
m;DIMEX
o;D916
v;M
o;D1116
v;T
o;D1416
v;4X2/160CV
o;D1622
v;T/52
o;D1721
v;4X2/210CV
o;D1725
v;N/T
o;D1730
v;T
o;D1731
v;TRACTOR
o;D1737
v;TRACTOR
o;D2730
v;6X4 N
m;FORD
o;CARGO
v;C712/28
v;C712/39
v;C915
v;C915 E
v;C915 E 2012
v;C915 EV 2016
v;C1119/39 EV 2016
v;C1317/48
v;C1317/48 E
v;C1317/48 2011
v;C1416/35
v;C1416/43
v;C1416/48
v;C1517/35
v;C1517/35 E
v;C1517/35 2011
v;C1517/48
v;C1517/48 E
v;C1517/48 2011
v;C1519/35 EV 2016
v;C1519/48 EV 2016
v;C1722/35
v;C1722/37 E
v;C1722/37 TRACTOR 2011
v;C1722/37 TRACTOR D/C 2011
v;C1722/37 4X2 EV 2016
v;C1722/37 4X2 CD EV 2016
v;C1722/37 4X2 EV A/T 2016
v;C1722/37 4X2 CD EV A/T 2016
v;C1722/43
v;C1722/43 E
v;C1722/43 2011
v;C1722/43 D/C 2011 
v;C1722/43 T/FUERZA 2011
v;C1722/43 4X2 EV 2016
v;C1722/43 4X2 CD EV 2016
v;C1722/43 4X2 EV A/T 2016
v;C1722/43 4X2 CD EV A/T 2016
v;C1722/48
v;C1722/48 E
v;C1722/48 2011
v;C1722/48 D/C 2011
v;C1722/48 6X2 2011
v;C1722/48 4X2 EV 2016
v;C1722/48 4X2 CD EV 2016
v;C1722/48 4X2 EV A/T 2016
v;C1722/48 4X2 CD EV A/T 2016
v;C1722/48 6X2 EV 2016
v;C1722/48 6X2 EV A/T 2016
v;C1722 E 6X2 C
v;C1722 E 6X2 L
v;C1722/53 6X2 2011
v;C1722/53 6X2 EV 2016
v;C1722/43 6X2 EV A/T 2016
v;C1729/37 EV 2016
v;C1729/37 CD EV 2016
v;C1729/37 EV A/T 2016
v;C1729/37 CD EV A/T 2016
v;C1729/48 EV 2016
v;C1729/48 CD EV 2016
v;C1729/48 EV A/T 2016
v;C1729/48 CD EV A/T 2016
v;C1730/35
v;C1730/48
v;C1831/37 
v;C1831/37 A/C
v;C1832/37 E
v;C1832/48 E
v;C1832/48 2011
v;C1832/48 D/C 2011
v;C1932/37 TRACTOR 2011
v;C1932/37 TRACTOR D/C 2011
v;C1933/37 CD EV 2016
