idmarca;Marca;idmodelo;Modelo;idversion;Version;idpais
114;3-Star;1;Otro Modelo;13571;Desconocido;27
114;3-Star;2;SXZ;13572;Desconocido;27
114;3-Star;6756;Desconocido;13555;Desconocido;27
128;Acura;19;TL;13384;3.51;27
128;Acura;19;TL;13385;3.71;27
128;Acura;20;TSX;13455;2.41;27
128;Acura;20;TSX;13456;3.51;27
128;Acura;20;TSX;13457;Otra Versión;27
128;Acura;22;ZDX;13537;Otra Versión;27
128;Acura;12;MDX;12865;Otra Versión;27
128;Acura;15;RDX;13106;Otra Versión;27
128;Acura;15;RDX;13107;Turbo;27
128;Acura;17;RXD;13128;Otra Versión;27
128;Acura;17;RXD;13129;Turbo;27
128;Acura;7189;ILX;18577;Otra Versión;27
128;Acura;7189;ILX;18578;Premium;27
128;Acura;7189;ILX;18579;Tech;27
128;Acura;7418;RLX;19187;Otra Versión;27
128;Acura;7189;ILX;19230;Luxury;27
128;Acura;9;CL;2264;Otra Versión;27
128;Acura;10;Integra;3977;Otra Versión;27
128;Acura;11;Legend;4280;Otra Versión;27
128;Acura;13;NSX;4765;Otra Versión;27
128;Acura;14;Otro Modelo;4828;Otra Versión;27
128;Acura;16;RL;5463;Otra Versión;27
128;Acura;18;SLX;6036;Otra Versión;27
128;Acura;19;TL;6356;Otra Versión;27
128;Acura;21;Vigor;6681;Otra Versión;27
115;Agrale;6757;Desconocido;13556;Desconocido;27
115;Agrale;23;8500;13579;Desconocido;27
115;Agrale;24;9200;13580;Desconocido;27
115;Agrale;25;CHASIS;13581;Desconocido;27
115;Agrale;26;Otro Modelo;13582;Desconocido;27
1;Aleko;66;2141;8940;Otra Versión;27
1;Aleko;69;Pick Up;5217;Diesel;27
1;Aleko;69;Pick Up;5222;Otra Versión;27
1;Aleko;68;Otro Modelo;4855;Otra Versión;27
1;Aleko;67;Hatch Back;3806;Diesel;27
1;Aleko;67;Hatch Back;3807;Diesel Full;27
1;Aleko;67;Hatch Back;3808;Nafta;27
1;Aleko;67;Hatch Back;3809;Nafta A/C;27
1;Aleko;67;Hatch Back;3810;Otra Versión;27
2;Alfa Romeo;84;Giulietta;3530;1.6;27
2;Alfa Romeo;84;Giulietta;3531;Otra Versión;27
2;Alfa Romeo;85;GT;3760;1.9 JTD 150 CV Distinctive;27
2;Alfa Romeo;85;GT;3761;2.0 SS;27
2;Alfa Romeo;85;GT;3763;3.2 V6 JTS 240;27
2;Alfa Romeo;86;GTV;3770;2.0;27
2;Alfa Romeo;86;GTV;3771;3.0 V6;27
2;Alfa Romeo;86;GTV;3772;3.0 V6 24 v;27
2;Alfa Romeo;86;GTV;3773;Otra Versión;27
2;Alfa Romeo;85;GT;3765;Manual Eleg;27
2;Alfa Romeo;85;GT;3766;Otra Versión;27
2;Alfa Romeo;88;Otro Modelo;4856;Otra Versión;27
2;Alfa Romeo;87;Mito;4577;1.4 Tbi 155 HP Eleg;27
2;Alfa Romeo;87;Mito;4578;Otra Versión;27
2;Alfa Romeo;83;Brera;1989;2.2 185 SS;27
2;Alfa Romeo;83;Brera;1990;2.2 JTS 185 CV;27
2;Alfa Romeo;83;Brera;1991;3.2 V6 JTS 4x4;27
2;Alfa Romeo;83;Brera;1992;Otra Versión;27
2;Alfa Romeo;70;145;395;1.6;27
2;Alfa Romeo;70;145;396;1.7;27
2;Alfa Romeo;70;145;397;1.7 8v Boxer;27
2;Alfa Romeo;70;145;398;1.8 16V MY 2000;27
2;Alfa Romeo;70;145;399;1.8 TS;27
2;Alfa Romeo;70;145;400;1.8 TS 16v;27
2;Alfa Romeo;70;145;401;1.9 JTD;27
2;Alfa Romeo;70;145;402;2.0 Quadrifoglio;27
2;Alfa Romeo;70;145;403;2.0 Quadrifoglio Full;27
2;Alfa Romeo;70;145;404;2.0 Quadrifoglio MY 2000;27
2;Alfa Romeo;70;145;405;2.0 Quadrifoglio MY 2000 Full;27
2;Alfa Romeo;70;145;406;2.0 TD;27
2;Alfa Romeo;70;145;407;2.0 TD Full;27
2;Alfa Romeo;70;145;408;Otra Versión;27
2;Alfa Romeo;71;146;409;1.6;27
2;Alfa Romeo;71;146;410;1.8 16V;27
2;Alfa Romeo;71;146;411;1.8 16V MY 2000;27
2;Alfa Romeo;71;146;412;1.8 TS 16v;27
2;Alfa Romeo;71;146;413;1.9 JTD MY 2000;27
2;Alfa Romeo;71;146;414;2.0 TD;27
2;Alfa Romeo;71;146;415;2.0 TD Full;27
2;Alfa Romeo;71;146;416;2.0 Ti;27
2;Alfa Romeo;71;146;417;2.0 Ti Full;27
2;Alfa Romeo;71;146;418;Formula;27
2;Alfa Romeo;71;146;419;Otra Versión;27
2;Alfa Romeo;72;147;420;1.9 JTD;27
2;Alfa Romeo;72;147;421;2.0 5D 150 HP Distinctive;27
2;Alfa Romeo;72;147;422;2.0 5D SS 150 HP Distinctive;27
2;Alfa Romeo;72;147;423;2.0 TS;27
2;Alfa Romeo;72;147;424;2.0 TS Selespeed;27
2;Alfa Romeo;72;147;425;3P 1.6 TS 120 CV Progressión;27
2;Alfa Romeo;72;147;426;5 Puertas 1.6 TS 120 CV Progressión;27
2;Alfa Romeo;72;147;427;5 Puertas 1.9 JTD 150 CV;27
2;Alfa Romeo;72;147;428;5 Puertas 2.0 TS 150 CV;27
2;Alfa Romeo;72;147;429;5 Puertas 2.0 TS 150 CV Selespeed;27
2;Alfa Romeo;72;147;431;Otra Versión;27
2;Alfa Romeo;78;2000;559;Berlina;27
2;Alfa Romeo;73;155;451;2.0 T 16V 4x4;27
2;Alfa Romeo;73;155;452;2.0 TS;27
2;Alfa Romeo;73;155;453;2.0 TS Super;27
2;Alfa Romeo;73;155;454;2.5 V6;27
2;Alfa Romeo;73;155;455;Otra Versión;27
2;Alfa Romeo;74;156;456;2.0 Sportwagon TS;27
2;Alfa Romeo;74;156;457;2.0 TS;27
2;Alfa Romeo;74;156;458;2.0 TS Selespeed;27
2;Alfa Romeo;74;156;459;2.4 JTD;27
2;Alfa Romeo;74;156;460;2.4 Sportwagon JTD;27
2;Alfa Romeo;74;156;461;2.5 Sportwagon V6;27
2;Alfa Romeo;74;156;462;2.5 V6;27
2;Alfa Romeo;74;156;463;Otra Versión;27
2;Alfa Romeo;75;159;464;1.8 TS 200 HP Eleg;27
2;Alfa Romeo;75;159;465;1.9 JTDm 150CV Progressión;27
2;Alfa Romeo;75;159;466;2.2 JTS 189CV  SELEESPEED DISTINCTIVE PREMIUN;27
2;Alfa Romeo;75;159;467;2.2 JTS 6M 185 CV Progressión;27
2;Alfa Romeo;75;159;468;2.2 JTS SS 190 HP Eleg;27
2;Alfa Romeo;75;159;469;2.2  JTS 185 CV Selespeed;27
2;Alfa Romeo;75;159;470;3.2 JTS 4x4 260 CV;27
2;Alfa Romeo;75;159;471;Otra Versión;27
2;Alfa Romeo;75;159;472;TBI;27
2;Alfa Romeo;75;159;473;TS;27
2;Alfa Romeo;76;164;477;2.0 TS;27
2;Alfa Romeo;76;164;478;2.0 V6 Turbo;27
2;Alfa Romeo;76;164;479;3.0 24V Super;27
2;Alfa Romeo;76;164;480;3.0 V6 12v;27
2;Alfa Romeo;76;164;481;Otra Versión;27
2;Alfa Romeo;76;164;482;Quadrifoglio S;27
2;Alfa Romeo;77;166;483;3.0 V6 24v;27
2;Alfa Romeo;77;166;484;3.0 V6 24v Sportronic;27
2;Alfa Romeo;77;166;485;Otra Versión;27
2;Alfa Romeo;79;33;908;1.4 Imola;27
2;Alfa Romeo;79;33;909;1.5 Ie;27
2;Alfa Romeo;79;33;910;1.7 16v;27
2;Alfa Romeo;79;33;911;1.7 16v Quatro;27
2;Alfa Romeo;79;33;912;1.7 8v;27
2;Alfa Romeo;79;33;913;1.7 SW;27
2;Alfa Romeo;79;33;914;1.7 SW 16v;27
2;Alfa Romeo;79;33;915;Otra Versión;27
2;Alfa Romeo;74;156;8853;2.0 Sportwagon;27
2;Alfa Romeo;79;33;9049;1.5;27
2;Alfa Romeo;79;33;9050;Familiar;27
2;Alfa Romeo;81;90;9175;Otra Versión;27
2;Alfa Romeo;80;75;9156;Otra Versión;27
2;Alfa Romeo;82;Alfetta;9323;GTV;27
2;Alfa Romeo;82;Alfetta;9324;Otra Versión;27
2;Alfa Romeo;83;Brera;9472;3.2;27
2;Alfa Romeo;86;GTV;10365;6 215;27
2;Alfa Romeo;89;Spider;6077;2.0;27
2;Alfa Romeo;89;Spider;6078;2.2 185 SS;27
2;Alfa Romeo;89;Spider;6079;2.2 JTS185 CV;27
2;Alfa Romeo;89;Spider;6080;3.0 Tv - V6 24v;27
2;Alfa Romeo;89;Spider;6081;3.0 V6 12v;27
2;Alfa Romeo;89;Spider;6082;3.2 V6 JTS 4X4 260CV;27
